store,list,_name_,FACTS,M_2014_01,M_2014_02,M_2014_03,M_2014_04,M_2014_05,M_2014_06,M_2014_07,M_2014_08,M_2014_09,M_2014_10,M_2014_11,M_2014_12,M_2015_01,M_2015_02,M_2015_03,M_2015_04,M_2015_05,M_2015_06,M_2015_07,M_2015_08,M_2015_09,M_2015_10,M_2015_11,M_2015_12,M_2016_01,M_2016_02,M_2016_03,M_2016_04,M_2016_05,M_2016_06,YEAR_2014_COMMON,YEAR_2014_NONCOMMON,YEAR_2015_COMMON,YEAR_2015_NONCOMMON,YEAR_2016_COMMON
National,Nlch,Sales,Sales,974416.700000072,866056.970000062,1018551.00000009,1044804.99000005,971280.330000082,873273.390000081,872736.680000069,860037.720000025,807621.130000027,815952.570000056,751880.810000036,834564.200000062,772122.230000066,652444.180000037,713342.330000039,731495.670000061,664487.420000033,620774.32000005,615247.500000035,638621.97000004,636497.420000028,642693.200000027,614815.200000014,716337.780000027,644462.660000056,567293.660000033,605551.090000042,648608.600000057,593175.780000036,561513.430000018,5748383.38000044,4942793.11000027,4154666.15000028,3864213.07000017,3620605.22000024
National,Nlch,Salesontotal,Sales % On National Sales,0.99999214921096,1,0.99998485125805,0.99998951011419,0.99786035626709,0.99850542063296,0.99612693317346,0.92732411681158,0.87805645700943,0.85709181129742,0.80880617377004,0.79981182436135,0.78343963443676,0.73045971757217,0.69948227753095,0.70390309116808,0.68511978873538,0.68419965542599,0.68450091492083,0.68609722935301,0.66442052994063,0.65143138331819,0.63560310156307,0.63721945297876,0.63786959521302,0.60244798815541,0.57991047033533,0.57620589228365,0.57266645808992,0.58074440944226,0.99940474013106,0.87507488085573,0.71448011836553,0.6587872683253,0.59116245986836
National,Nlch,Visits,Visits,160406,145010,165587,163445,160714,146677,147182,138914,139316,140831,127249,129381,129732,112147,126628,124448,119521,114139,113888,111347,117405,117918,112715,119314,111588,103285,109110,112577,107314,102881,941839,822873,726615,692587,646755
National,Nlch,Quantity,Quantity,442865.519999999,396945.42,455174.52,442413.62,438508.759999999,394774.309999999,396790.239999999,375220.519999999,370587.799999999,373083.42,339049.2,342054.5,340866.97,289349.42,323511.899999999,316988.639999999,302377.98,286499.46,287128.09,285682.95,298786.69,297467.56,278850.77,297980.93,282163.61,254000.02,264283.78,275786.15,260300,252374.36,2570682.14999999,2196785.68,1859594.37,1745896.99,1588907.92
National,Nlch,Avg_basket,Average Basket,6.07468984950732,5.97239480035902,6.15115317023737,6.39239493407599,6.04353279739215,5.95371728355557,5.92964275522869,6.19115222367814,5.79704506302239,5.79384205182137,5.90873649301791,6.45043862700135,5.95167136866822,5.81775865604998,5.63336963388854,5.87792226472149,5.55958718551579,5.43875730469034,5.40221533436389,5.73542143030383,5.42138256462695,5.45034006682633,5.45459965399471,6.00380324186623,5.7753760260965,5.49250772135386,5.54991375675962,5.76146637412666,5.52747805505373,5.45789241939734,6.10336095659708,6.00675087164152,5.71783702510998,5.57939012716116,5.5981093613505
National,Nlch,Avg_price_item,Average Price Per Item,2.20025415390223,2.18180365955617,2.23771532729928,2.36160222644151,2.21496220508818,2.21208262006735,2.19949129797162,2.2920860511574,2.17929767250845,2.18705127662884,2.21761564398333,2.43985739114691,2.26517174720702,2.25486603705663,2.20499564312793,2.3076400151124,2.19753905360447,2.16675563716612,2.14276318280121,2.2354220649151,2.13027367450681,2.16054886791698,2.20481801072312,2.40397189175839,2.28400345459166,2.23343943043796,2.291291164369,2.3518534197604,2.27881590472545,2.22492265062115,2.2361315186323,2.25001153048315,2.23417870962917,2.21331103274321,2.27867529290195
National,Nlch,Avg_quantity,Average Quantity Purchased,2.76090370684388,2.73736583683884,2.74885419749134,2.70680424607666,2.72850380178453,2.69145339760153,2.69591553314942,2.70109938523114,2.66005196818742,2.64915693277759,2.66445473048904,2.6437769069647,2.62747024635402,2.58009059537928,2.55482120857945,2.54715736693237,2.52991507768509,2.51009260638344,2.52114436990727,2.56569956981329,2.54492304416336,2.52266456351023,2.47394552632746,2.49745151449117,2.52861965444313,2.45921498765552,2.42217743561543,2.44975572274976,2.42559218741264,2.45307063500549,2.72942843734438,2.66965337299923,2.55925678660639,2.52083419122796,2.45673851767671
' Pandora Acropoleos,All,Sales,Sales,58299.3299999958,51624.2399999988,58264.0599999958,60898.5299999959,58979.6999999939,55383.7100000009,55426.9000000008,51911.2799999998,56671.5399999999,56830.639999999,52923.1000000004,58291.450000001,54774.0300000012,50958.4800000007,56513.9000000012,58328.290000001,55690.7800000006,51619.7700000015,51025.710000001,48497.1000000008,53611.1700000008,53546.2800000004,51465.9499999998,56031.0899999999,51041.0100000011,49813.1500000012,53996.4600000013,57682.4900000009,53266.5700000002,51098.3700000007,343449.569999981,332054.910000001,327885.250000006,314177.300000003,316898.050000005
' Pandora Acropoleos,All,Salesontotal,Sales % On National Sales,0.05982950857087,0.05960836502475,0.05720202265058,0.05828637091536,0.06059373657295,0.06332602743083,0.06326332922355,0.05597264022159,0.06161405364129,0.05969596514021,0.05692994081741,0.05586411562964,0.05557688196572,0.05705180312698,0.05541584989657,0.05612810207549,0.0574199815974,0.05689383034911,0.05676925981736,0.05210238216773,0.05596308934313,0.05427430576819,0.05320609744991,0.04984254846868,0.05051884369524,0.05289999539424,0.05171010841552,0.05124352439913,0.05142485415789,0.0528484113178,0.05971159290595,0.05878718860757,0.05638659853098,0.05356226519797,0.05174224180273
' Pandora Acropoleos,All,Visits,Visits,12643,11529,12736,12580,13025,12418,12472,11509,12845,12668,11666,11980,11745,10919,12688,12325,12372,11767,11696,10821,12384,12064,11711,11997,11276,11092,12008,12490,11884,11564,74931,73140,71816,70673,70314
