"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'80000027,National,111,0,Pandora Tseriou,1,1,1,33,1,2.14,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000028,National,111,0,Pandora Athalassas - Pandora Prodromou,1,1,1,29,2,5.72,0.00%,422,0.375,Pandora Ayios Antonios - Pandora Kaimakli,4,2,2,3,3,17.91,0.00%,422,0.375,Pandora Kaimakli,4,2,2,4,2,15.62,0.00%,100.00%,Blue,0.00%,Green
'80000029,National,455,0.938,Pandora Ayios Antonios - Pandora Kaimakli,4,5,5,3,42,138.07,8.08%,555,1,Pandora Ayios Antonios - Pandora Kaimakli,5,5,5,1,50,126.74,1.02%,554,0.875,Pandora Ayios Antonios - Pandora Kaimakli,5,5,4,0,32,78.53,1.64%,(   6.72%),Yellow,(  12.50%),Yellow
'80000030,National,,,,,,,,,,,533,0.625,Pandora Ayios Antonios,5,3,3,0,5,43.42,0.00%,332,0.375,Pandora Ayios Antonios,3,3,2,11,4,16.93,0.00%,,White,(  40.00%),Red
'80000034,National,,,,,,,,,,,323,0.438,Pandora Ayios Antonios - Pandora Agios Dometios,3,2,3,10,3,28.27,0.00%,343,0.563,Pandora Ayios Antonios - Pandora Agios Dometios,3,4,3,9,8,32.26,0.00%,,White,28.54%,Green
'80000035,National,542,0.563,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou,5,4,2,0,7,18.58,0.00%,333,0.5,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Athalassas,3,3,3,8,5,26.43,0.00%,323,0.438,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Kaimakli,3,2,3,9,3,31.03,0.00%,(  22.20%),Yellow,(  12.40%),Yellow
'80000038,National,411,0.188,Pandora Kaimakli,4,1,1,5,1,5.81,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000039,National,433,0.563,Pandora Ayios Antonios,4,3,3,2,4,30.24,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000040,National,345,0.813,Pandora Ayios Antonios,3,4,5,8,12,150.5,0.00%,345,0.813,Pandora Ayios Antonios,3,4,5,8,10,154.18,0.00%,545,0.938,Pandora Ayios Antonios,5,4,5,1,8,129.93,0.00%,15.38%,Green,15.38%,Green
'80000041,National,531,0.375,Pandora Ayios Antonios,5,3,1,0,4,7.16,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000042,National,324,0.563,Pandora Ayios Antonios - Pandora Kaimakli,3,2,4,8,3,43.03,0.00%,523,0.563,Pandora Ayios Antonios,5,2,3,0,3,37.2,0.00%,213,0.313,Pandora Ayios Antonios,2,1,3,25,1,22.74,0.00%,(  44.40%),Red,(  44.40%),Red
'80000045,National,543,0.688,Pandora Agios Dometios,5,4,3,1,11,32.11,0.00%,454,0.813,Pandora Ayios Antonios - Pandora Agios Dometios,4,5,4,2,17,74.04,0.00%,454,0.813,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Kaimakli,4,5,4,3,17,54.64,0.00%,18.17%,Green,0.00%,Green
'80000046,National,,,,,,,,,,,433,0.563,Pandora Ayios Antonios - Pandora Agios Dometios,4,3,3,3,5,32.19,0.00%,112,0.125,Pandora Ayios Antonios,1,1,2,41,1,12.02,0.00%,,White,(  77.80%),Red
'80000048,National,211,0.063,Pandora Ayios Antonios,2,1,1,25,1,2.93,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80000049,National,133,0.375,Pandora Ayios Antonios - Pandora Tseriou,1,3,3,32,5,35.48,0.00%,,,,,,,,,,,311,0.125,Pandora Athalassas,3,1,1,8,1,5.72,0.00%,(  66.67%),Red,,White
