"cardcode","Store","RFM (MAY15-JUN15)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAR16-APR16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","RFM (MAY16-JUN16)","Rescaled Score","Visited Stores","Recency Score","Frequency Score","Monetary Score","Recency Value","Frequency Value","Monetary Value","Private Label % Sales","Score Difference with Y_Ago","RFM Lights with Y_Ago (MAY15-JUN15)","Score Difference with Previous","RFM Lights with Previous (MAR16-APR16)"
'80005937,National,,,,,,,,,,,112,0.125,Pandora Prodromou,1,1,2,33,1,11.49,0.00%,225,0.625,Pandora Acropoleos,2,2,5,16,3,83.38,0.00%,,White,400.00%,Blue
'80005938,National,544,0.813,Pandora Acropoleos,5,4,4,0,11,78.24,0.00%,455,0.938,Pandora Acropoleos,4,5,5,4,23,276.18,0.00%,455,0.938,Pandora Acropoleos,4,5,5,2,13,144.52,0.00%,15.38%,Green,0.00%,Green
'80005939,National,,,,,,,,,,,111,0,Pandora Acropoleos,1,1,1,51,1,2.38,0.00%,121,0.063,Pandora Acropoleos,1,2,1,49,2,4.77,0.00%,,White,100.00%,Blue
'80005940,National,533,0.625,Pandora Acropoleos,5,3,3,1,4,36.48,0.00%,111,0,Pandora Acropoleos,1,1,1,30,1,6.58,0.00%,,,,,,,,,,,,Black,,Black
'80005941,National,222,0.25,Pandora Ayios Antonios - Pandora Agios Dometios,2,2,2,17,3,14.25,0.00%,411,0.188,Pandora Ayios Antonios,4,1,1,3,1,6.55,0.00%,533,0.625,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Prodromou,5,3,3,0,6,22.74,0.00%,150.00%,Blue,232.45%,Blue
'80005942,National,233,0.438,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Kaimakli - Pandora Athalassas,2,3,3,26,5,42.02,0.00%,,,,,,,,,,,521,0.313,Pandora Tseriou - Pandora Athalassas,5,2,1,1,2,9.18,20.81%,(  28.54%),Yellow,,White
'80005943,National,445,0.875,Pandora Ayios Antonios - Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,4,4,5,5,12,100.21,0.00%,233,0.438,Pandora Acropoleos - Pandora Prodromou,2,3,3,15,5,27.82,0.00%,522,0.438,Pandora Acropoleos - Pandora Prodromou,5,2,2,1,3,13.02,0.00%,(  49.94%),Red,0.00%,Green
'80005944,National,345,0.813,Pandora Ayios Antonios - Pandora Acropoleos,3,4,5,7,8,112.95,0.00%,545,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos,5,4,5,0,10,100.12,0.00%,511,0.25,Pandora Acropoleos,5,1,1,0,1,8,0.00%,(  69.25%),Red,(  73.35%),Red
'80005945,National,544,0.813,Pandora Acropoleos - Pandora Prodromou,5,4,4,0,9,69.66,0.00%,333,0.5,Pandora Tseriou,3,3,3,5,6,31.49,0.00%,332,0.375,Pandora Tseriou,3,3,2,6,5,21.46,0.00%,(  53.87%),Red,(  25.00%),Yellow
'80005946,National,532,0.5,Pandora Acropoleos,5,3,2,1,5,11.31,0.00%,543,0.688,Pandora Acropoleos - Pandora Athalassas,5,4,3,1,9,33.59,0.00%,332,0.375,Pandora Acropoleos,3,3,2,10,5,21.4,0.00%,(  25.00%),Yellow,(  45.49%),Red
'80005948,National,413,0.438,Pandora Agios Dometios,4,1,3,5,2,25.59,0.00%,534,0.75,Pandora Agios Dometios - Pandora Prodromou,5,3,4,0,6,84.54,0.00%,434,0.688,Pandora Agios Dometios - Pandora Acropoleos - Pandora Prodromou,4,3,4,2,5,46.05,0.00%,57.08%,Blue,(   8.27%),Yellow
'80005949,National,455,0.938,Pandora Ayios Antonios - Pandora Athalassas - Pandora Prodromou,4,5,5,2,19,237.47,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Prodromou,4,5,5,2,18,268.31,0.00%,455,0.938,Pandora Ayios Antonios - Pandora Prodromou,4,5,5,3,30,261.03,0.00%,0.00%,Green,0.00%,Green
'80005950,National,445,0.875,Pandora Prodromou,4,4,5,2,7,87.36,0.00%,545,0.938,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Prodromou,5,4,5,0,8,89.99,0.00%,113,0.25,Pandora Ayios Antonios,1,1,3,37,1,39.85,10.77%,(  71.43%),Red,(  73.35%),Red
'80005952,National,,,,,,,,,,,,,,,,,,,,,211,0.063,Pandora Acropoleos,2,1,1,23,1,8.27,0.00%,,White,,White
'80005953,National,513,0.5,Pandora Acropoleos - Pandora Athalassas,5,1,3,0,2,24.9,0.00%,324,0.563,Pandora Athalassas,3,2,4,7,3,70.63,0.00%,324,0.563,Pandora Athalassas,3,2,4,12,3,62.12,0.00%,12.60%,Green,0.00%,Green
'80005954,National,544,0.813,Pandora Acropoleos,5,4,4,1,11,65.96,0.00%,554,0.875,Pandora Acropoleos,5,5,4,1,22,82.11,0.00%,355,0.875,Pandora Acropoleos,3,5,5,8,20,82.66,13.82%,7.63%,Green,0.00%,Green
'80005955,National,545,0.938,Pandora Acropoleos,5,4,5,0,10,97.84,1.36%,344,0.688,Pandora Acropoleos,3,4,4,9,8,68.39,0.00%,344,0.688,Pandora Acropoleos,3,4,4,7,11,78,0.00%,(  26.65%),Yellow,0.00%,Green
'80005956,National,233,0.438,Pandora Tseriou - Pandora Acropoleos,2,3,3,14,6,30.86,0.00%,354,0.75,Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas,3,5,4,6,17,78.21,0.00%,433,0.563,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Acropoleos,4,3,3,3,6,25.59,0.00%,28.54%,Green,(  24.93%),Yellow
'80005957,National,544,0.813,Pandora Acropoleos,5,4,4,1,13,51.81,0.00%,555,1,Pandora Acropoleos,5,5,5,1,18,109.3,0.00%,344,0.688,Pandora Acropoleos,3,4,4,6,12,60.02,0.00%,(  15.38%),Yellow,(  31.20%),Red
'80005958,National,445,0.875,Pandora Ayios Antonios - Pandora Acropoleos,4,4,5,5,9,225.81,0.00%,214,0.438,Pandora Ayios Antonios,2,1,4,23,2,59.43,0.00%,323,0.438,Pandora Acropoleos - Pandora Athalassas,3,2,3,7,3,40.58,3.18%,(  49.94%),Red,0.00%,Green
'80005959,National,134,0.5,Pandora Prodromou,1,3,4,39,4,61.6,0.00%,334,0.625,Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,3,3,4,10,5,56.55,0.00%,,,,,,,,,,,,Black,,Black
'80005960,National,111,0,Pandora Prodromou,1,1,1,52,1,1.86,0.00%,111,0,Pandora Ayios Antonios,1,1,1,27,1,4.29,0.00%,,,,,,,,,,,,Black,,Black
'80005961,National,455,0.938,Pandora Athalassas - Pandora Prodromou,4,5,5,4,22,89.24,0.00%,555,1,Pandora Athalassas - Pandora Prodromou,5,5,5,0,25,146.51,0.00%,255,0.813,Pandora Athalassas - Pandora Prodromou,2,5,5,14,21,93.33,0.00%,(  13.33%),Yellow,(  18.70%),Yellow
'80005962,National,345,0.813,Pandora Prodromou,3,4,5,11,7,89.17,0.00%,334,0.625,Pandora Tseriou - Pandora Prodromou,3,3,4,8,5,50.69,0.00%,334,0.625,Pandora Ayios Antonios - Pandora Prodromou,3,3,4,6,6,73,0.00%,(  23.12%),Yellow,0.00%,Green
'80005963,National,555,1,Pandora Agios Dometios - Pandora Prodromou,5,5,5,0,19,137.54,0.00%,334,0.625,Pandora Prodromou,3,3,4,8,6,49.61,0.00%,244,0.625,Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,2,4,4,17,8,77.86,0.00%,(  37.50%),Red,0.00%,Green
'80005964,National,443,0.625,Pandora Ayios Antonios - Pandora Prodromou,4,4,3,4,9,34.59,0.00%,522,0.438,Pandora Ayios Antonios,5,2,2,1,3,16.6,0.00%,233,0.438,Pandora Ayios Antonios,2,3,3,19,5,23.7,0.00%,(  29.92%),Yellow,0.00%,Green
'80005965,National,344,0.688,Pandora Prodromou,3,4,4,6,9,65.04,0.00%,534,0.75,Pandora Prodromou,5,3,4,1,5,54.92,0.00%,344,0.688,Pandora Athalassas - Pandora Prodromou,3,4,4,6,9,67.16,0.00%,0.00%,Green,(   8.27%),Yellow
'80005966,National,,,,,,,,,,,111,0,Pandora Acropoleos,1,1,1,39,1,4.56,0.00%,,,,,,,,,,,,,,Black
'80005967,National,444,0.75,Pandora Prodromou,4,4,4,5,9,47.06,5.06%,345,0.813,Pandora Prodromou,3,4,5,7,11,120.85,2.36%,544,0.813,Pandora Athalassas - Pandora Prodromou,5,4,4,1,9,43.42,0.00%,8.40%,Green,0.00%,Green
'80005968,National,134,0.5,Pandora Prodromou,1,3,4,29,4,59.19,0.00%,112,0.125,Pandora Prodromou,1,1,2,34,1,15.67,0.00%,311,0.125,Pandora Prodromou,3,1,1,10,1,8.59,0.00%,(  75.00%),Red,0.00%,Green
'80005969,National,555,1,Pandora Prodromou,5,5,5,0,85,807.78,0.00%,555,1,Pandora Prodromou,5,5,5,0,77,738.57,0.00%,555,1,Pandora Prodromou,5,5,5,0,73,615.78,0.00%,0.00%,Green,0.00%,Green
'80005970,National,554,0.875,Pandora Prodromou,5,5,4,0,15,76.38,0.00%,,,,,,,,,,,213,0.313,Pandora Athalassas,2,1,3,26,1,33.41,0.00%,(  64.23%),Red,,White
'80005971,National,444,0.75,Pandora Agios Dometios - Pandora Prodromou,4,4,4,4,7,65.21,0.00%,334,0.625,Pandora Agios Dometios - Pandora Prodromou,3,3,4,10,7,52.52,0.00%,333,0.5,Pandora Agios Dometios,3,3,3,8,6,36.77,0.00%,(  33.33%),Red,(  20.00%),Yellow
'80005972,National,543,0.688,Pandora Athalassas - Pandora Prodromou,5,4,3,0,12,38.56,0.00%,243,0.5,Pandora Athalassas - Pandora Prodromou,2,4,3,20,10,35.96,0.00%,533,0.625,Pandora Athalassas - Pandora Prodromou,5,3,3,1,6,30.94,0.00%,(   9.16%),Yellow,25.00%,Green
'80005973,National,455,0.938,Pandora Prodromou,4,5,5,3,17,109.53,0.00%,255,0.813,Pandora Prodromou,2,5,5,12,18,137.03,5.28%,255,0.813,Pandora Prodromou,2,5,5,21,13,97.42,0.00%,(  13.33%),Yellow,0.00%,Green
'80005974,National,211,0.063,Pandora Prodromou,2,1,1,26,2,5.57,0.00%,332,0.375,Pandora Prodromou,3,3,2,7,5,12.72,0.00%,432,0.438,Pandora Prodromou,4,3,2,2,5,14.45,0.00%,595.24%,Blue,16.80%,Green
'80005975,National,244,0.625,Pandora Prodromou,2,4,4,25,8,57.37,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80005976,National,312,0.25,Pandora Acropoleos - Pandora Prodromou,3,1,2,9,2,20.33,0.00%,234,0.563,Pandora Acropoleos - Pandora Athalassas,2,3,4,20,5,47.77,5.40%,122,0.188,Pandora Acropoleos,1,2,2,37,2,16.35,0.00%,(  24.80%),Yellow,(  66.61%),Red
'80005977,National,554,0.875,Pandora Agios Dometios,5,5,4,0,23,69.86,0.00%,455,0.938,Pandora Agios Dometios - Pandora Prodromou,4,5,5,2,26,88.55,0.00%,232,0.313,Pandora Agios Dometios,2,3,2,23,4,13.56,0.00%,(  64.23%),Red,(  66.63%),Red
'80005978,National,455,0.938,Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,4,5,5,2,17,87.67,0.00%,555,1,Pandora Agios Dometios - Pandora Prodromou,5,5,5,0,22,104.89,0.00%,454,0.813,Pandora Agios Dometios - Pandora Prodromou,4,5,4,4,16,75.09,0.00%,(  13.33%),Yellow,(  18.70%),Yellow
'80005979,National,333,0.5,Pandora Acropoleos,3,3,3,10,5,34.75,0.00%,111,0,Pandora Acropoleos,1,1,1,58,1,6.45,0.00%,,,,,,,,,,,,Black,,Black
'80005981,National,,,,,,,,,,,,,,,,,,,,,111,0,Pandora Acropoleos,1,1,1,31,1,6.86,0.00%,,White,,White
'80005982,National,212,0.188,Pandora Acropoleos,2,1,2,14,2,13.86,0.00%,233,0.438,Pandora Acropoleos,2,3,3,14,5,31.83,0.00%,344,0.688,Pandora Ayios Antonios - Pandora Acropoleos,3,4,4,7,9,77.27,0.00%,265.96%,Blue,57.08%,Blue
'80005983,National,512,0.375,Pandora Acropoleos,5,1,2,0,2,22.8,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80005984,National,454,0.813,Pandora Acropoleos,4,5,4,3,21,77.95,0.00%,232,0.313,Pandora Acropoleos,2,3,2,13,7,15.72,0.00%,322,0.313,Pandora Acropoleos,3,2,2,12,2,10.67,0.00%,(  61.50%),Red,0.00%,Green
'80005985,National,334,0.625,Pandora Acropoleos - Pandora Athalassas,3,3,4,7,5,43.1,26.50%,233,0.438,Pandora Acropoleos,2,3,3,18,5,25.98,0.00%,345,0.813,Pandora Acropoleos - Pandora Athalassas,3,4,5,7,7,96.31,11.86%,30.08%,Green,85.62%,Blue
'80005986,National,133,0.375,Pandora Ayios Antonios - Pandora Acropoleos,1,3,3,28,4,28.2,0.00%,122,0.188,Pandora Acropoleos,1,2,2,53,3,17.98,0.00%,322,0.313,Pandora Acropoleos,3,2,2,9,3,12.1,0.00%,(  16.53%),Yellow,66.49%,Blue
'80005987,National,411,0.188,Pandora Agios Dometios,4,1,1,2,2,9.57,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80005988,National,211,0.063,Pandora Ayios Antonios - Pandora Kaimakli,2,1,1,14,2,3.43,0.00%,232,0.313,Pandora Tseriou,2,3,2,16,4,19.64,0.00%,454,0.813,Pandora Tseriou,4,5,4,3,13,56.43,0.00%,1190.48%,Blue,159.74%,Blue
'80005989,National,111,0,Pandora Ayios Antonios,1,1,1,59,1,6.86,0.00%,,,,,,,,,,,111,0,Pandora Ayios Antonios,1,1,1,33,1,2.38,0.00%,0.00%,Green,,White
'80005990,National,334,0.625,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos - Pandora Athalassas,3,3,4,7,6,66.22,8.06%,555,1,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos - Pandora Athalassas,5,5,5,0,19,256.25,6.83%,545,0.938,Pandora Ayios Antonios - Pandora Tseriou - Pandora Acropoleos,5,4,5,1,11,175.48,6.72%,50.08%,Blue,(   6.20%),Yellow
'80005991,National,222,0.25,Pandora Acropoleos,2,2,2,26,3,18.57,0.00%,454,0.813,Pandora Acropoleos,4,5,4,2,15,67.93,0.00%,233,0.438,Pandora Acropoleos,2,3,3,14,6,25.24,0.00%,75.20%,Blue,(  46.13%),Red
'80005992,National,443,0.625,Pandora Acropoleos,4,4,3,4,13,33.27,0.00%,544,0.813,Pandora Tseriou - Pandora Acropoleos,5,4,4,0,13,53.16,0.00%,543,0.688,Pandora Acropoleos - Pandora Athalassas,5,4,3,0,10,32.53,0.00%,10.08%,Green,(  15.38%),Yellow
'80005993,National,542,0.563,Pandora Ayios Antonios - Pandora Acropoleos,5,4,2,1,8,22.64,0.00%,555,1,Pandora Ayios Antonios - Pandora Acropoleos,5,5,5,1,26,164.84,0.00%,555,1,Pandora Acropoleos,5,5,5,0,27,140.19,1.08%,77.62%,Blue,0.00%,Green
'80005994,National,111,0,Pandora Acropoleos,1,1,1,44,1,6.05,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80005996,National,443,0.625,Pandora Tseriou - Pandora Athalassas,4,4,3,5,7,39.07,0.00%,444,0.75,Pandora Ayios Antonios - Pandora Tseriou,4,4,4,3,10,67.62,0.00%,355,0.875,Pandora Tseriou - Pandora Acropoleos,3,5,5,8,18,90.08,0.00%,40.00%,Green,16.67%,Green
'80005998,National,112,0.125,Pandora Acropoleos - Pandora Athalassas,1,1,2,37,2,20.48,0.00%,444,0.75,Pandora Acropoleos - Pandora Athalassas,4,4,4,2,8,52.68,4.90%,545,0.938,Pandora Acropoleos - Pandora Athalassas,5,4,5,0,10,81.38,3.22%,650.40%,Blue,25.07%,Green
'80005999,National,231,0.188,Pandora Acropoleos,2,3,1,20,4,5.8,0.00%,453,0.688,Pandora Acropoleos - Pandora Athalassas - Pandora Prodromou,4,5,3,4,16,36.65,0.00%,343,0.563,Pandora Acropoleos,3,4,3,7,7,29.35,0.00%,199.47%,Blue,(  18.17%),Yellow
'80006000,National,324,0.563,Pandora Acropoleos,3,2,4,8,3,45.29,0.00%,324,0.563,Pandora Acropoleos,3,2,4,5,3,49.34,0.00%,223,0.375,Pandora Acropoleos,2,2,3,17,3,32.03,4.03%,(  33.39%),Red,(  33.39%),Red
'80006001,National,455,0.938,Pandora Agios Dometios - Pandora Prodromou,4,5,5,2,32,197.75,0.00%,354,0.75,Pandora Agios Dometios - Pandora Tseriou - Pandora Prodromou,3,5,4,8,14,82.98,0.00%,344,0.688,Pandora Agios Dometios - Pandora Tseriou,3,4,4,7,7,57.39,0.00%,(  26.65%),Yellow,(   8.27%),Yellow
'80006002,National,444,0.75,Pandora Agios Dometios - Pandora Kaimakli - Pandora Prodromou,4,4,4,3,10,47.2,0.00%,433,0.563,Pandora Agios Dometios - Pandora Prodromou,4,3,3,2,5,34.97,0.00%,334,0.625,Pandora Agios Dometios - Pandora Prodromou,3,3,4,6,5,55.6,0.00%,(  16.67%),Yellow,11.01%,Green
'80006003,National,344,0.688,Pandora Agios Dometios,3,4,4,6,13,65.85,0.00%,555,1,Pandora Agios Dometios - Pandora Acropoleos - Pandora Athalassas,5,5,5,0,38,229.92,3.97%,555,1,Pandora Agios Dometios,5,5,5,0,45,230.97,8.54%,45.35%,Green,0.00%,Green
'80006004,National,222,0.25,Pandora Agios Dometios,2,2,2,16,3,12.76,0.00%,331,0.25,Pandora Agios Dometios,3,3,1,9,5,10.64,0.00%,233,0.438,Pandora Agios Dometios,2,3,3,14,5,41.75,0.00%,75.20%,Blue,75.20%,Blue
'80006005,National,232,0.313,Pandora Agios Dometios,2,3,2,17,4,14.55,0.00%,232,0.313,Pandora Agios Dometios - Pandora Athalassas,2,3,2,14,6,23.9,0.00%,322,0.313,Pandora Agios Dometios - Pandora Athalassas,3,2,2,7,2,20.49,0.00%,0.00%,Green,0.00%,Green
'80006007,National,444,0.75,Pandora Agios Dometios,4,4,4,4,7,77.57,4.91%,111,0,Pandora Agios Dometios,1,1,1,28,1,3.76,0.00%,212,0.188,Pandora Agios Dometios,2,1,2,21,1,14.19,0.00%,(  74.93%),Red,100.00%,Blue
'80006008,National,544,0.813,Pandora Agios Dometios,5,4,4,0,9,70.39,0.00%,455,0.938,Pandora Agios Dometios,4,5,5,3,26,160.14,0.83%,555,1,Pandora Agios Dometios,5,5,5,0,21,187.34,3.56%,23.00%,Green,6.61%,Green
'80006009,National,333,0.5,Pandora Agios Dometios - Pandora Tseriou,3,3,3,8,4,41.5,0.00%,335,0.75,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Tseriou,3,3,5,9,7,95.24,0.00%,433,0.563,Pandora Agios Dometios - Pandora Tseriou,4,3,3,5,6,35.21,0.00%,12.60%,Green,(  24.93%),Yellow
'80006010,National,455,0.938,Pandora Agios Dometios,4,5,5,4,34,125.5,0.00%,254,0.688,Pandora Agios Dometios,2,5,4,14,19,75.39,0.00%,,,,,,,,,,,,Black,,Black
'80006011,National,111,0,Pandora Agios Dometios,1,1,1,43,1,0.76,0.00%,,,,,,,,,,,433,0.563,Pandora Agios Dometios,4,3,3,3,6,30.65,0.00%,100.00%,Blue,,White
'80006012,National,211,0.063,Pandora Agios Dometios,2,1,1,24,1,2.19,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006013,National,143,0.438,Pandora Agios Dometios,1,4,3,31,10,25.87,0.00%,555,1,Pandora Agios Dometios,5,5,5,1,21,92.12,0.00%,554,0.875,Pandora Agios Dometios,5,5,4,0,17,56.25,0.00%,99.77%,Blue,(  12.50%),Yellow
'80006014,National,444,0.75,Pandora Agios Dometios,4,4,4,3,10,60.9,0.00%,455,0.938,Pandora Agios Dometios,4,5,5,3,20,119.97,0.00%,254,0.688,Pandora Agios Dometios,2,5,4,17,16,63.97,0.00%,(   8.27%),Yellow,(  26.65%),Yellow
'80006015,National,344,0.688,Pandora Agios Dometios,3,4,4,7,10,76.54,0.00%,334,0.625,Pandora Agios Dometios,3,3,4,8,7,57.95,0.00%,521,0.313,Pandora Agios Dometios,5,2,1,0,3,7.73,0.00%,(  54.51%),Red,(  49.92%),Red
'80006016,National,444,0.75,Pandora Ayios Antonios - Pandora Agios Dometios - Pandora Prodromou,4,4,4,4,10,51.49,0.00%,333,0.5,Pandora Agios Dometios - Pandora Prodromou,3,3,3,8,7,25.92,0.00%,211,0.063,Pandora Agios Dometios,2,1,1,16,1,4.52,0.00%,(  91.60%),Red,(  87.40%),Red
'80006017,National,,,,,,,,,,,455,0.938,Pandora Agios Dometios,4,5,5,2,14,135.13,1.66%,233,0.438,Pandora Agios Dometios,2,3,3,23,4,33.03,0.00%,,White,(  53.30%),Red
'80006018,National,342,0.438,Pandora Ayios Antonios - Pandora Agios Dometios,3,4,2,10,7,19.05,0.00%,132,0.25,Pandora Agios Dometios,1,3,2,35,5,19.56,0.00%,432,0.438,Pandora Agios Dometios,4,3,2,2,4,15.52,55.22%,0.00%,Green,75.20%,Blue
'80006019,National,211,0.063,Pandora Agios Dometios,2,1,1,16,2,5.99,0.00%,511,0.25,Pandora Agios Dometios,5,1,1,0,1,6.67,0.00%,,,,,,,,,,,,Black,,Black
'80006020,National,132,0.25,Pandora Agios Dometios,1,3,2,34,4,15.78,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006021,National,234,0.563,Pandora Agios Dometios - Pandora Prodromou,2,3,4,16,5,60.11,0.00%,333,0.5,Pandora Ayios Antonios - Pandora Agios Dometios,3,3,3,7,6,44.29,0.00%,543,0.688,Pandora Agios Dometios - Pandora Prodromou,5,4,3,0,8,41.38,0.00%,22.20%,Green,37.60%,Green
'80006023,National,554,0.875,Pandora Agios Dometios,5,5,4,0,16,53.84,0.00%,354,0.75,Pandora Agios Dometios,3,5,4,5,22,67.68,0.00%,543,0.688,Pandora Agios Dometios,5,4,3,0,11,28.89,0.00%,(  21.37%),Yellow,(   8.27%),Yellow
'80006024,National,121,0.063,Pandora Agios Dometios,1,2,1,31,3,3.8,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006025,National,345,0.813,Pandora Agios Dometios,3,4,5,7,13,107.33,0.00%,455,0.938,Pandora Agios Dometios,4,5,5,2,18,118.38,0.00%,255,0.813,Pandora Agios Dometios,2,5,5,14,13,98.88,0.00%,0.00%,Green,(  13.33%),Yellow
'80006026,National,111,0,Pandora Agios Dometios,1,1,1,57,1,3.94,0.00%,444,0.75,Pandora Agios Dometios - Pandora Kaimakli,4,4,4,2,13,47.98,0.00%,243,0.5,Pandora Agios Dometios - Pandora Prodromou,2,4,3,23,9,32.29,0.00%,100.00%,Blue,(  33.33%),Red
'80006027,National,555,1,Pandora Agios Dometios,5,5,5,0,24,170.79,4.46%,455,0.938,Pandora Agios Dometios,4,5,5,3,33,196.41,3.08%,555,1,Pandora Agios Dometios,5,5,5,1,27,184.18,0.00%,0.00%,Green,6.61%,Green
'80006028,National,111,0,Pandora Agios Dometios,1,1,1,48,2,5.23,0.00%,211,0.063,Pandora Agios Dometios,2,1,1,21,1,5.28,0.00%,222,0.25,Pandora Agios Dometios,2,2,2,14,2,18.32,0.00%,100.00%,Blue,296.83%,Blue
'80006029,National,111,0,Pandora Agios Dometios,1,1,1,49,1,2.33,0.00%,555,1,Pandora Ayios Antonios - Pandora Agios Dometios,5,5,5,1,26,164.28,0.00%,455,0.938,Pandora Agios Dometios,4,5,5,5,33,153.36,1.25%,100.00%,Blue,(   6.20%),Yellow
'80006030,National,554,0.875,Pandora Agios Dometios - Pandora Tseriou,5,5,4,1,19,65.8,0.00%,453,0.688,Pandora Agios Dometios,4,5,3,4,19,46.16,0.00%,542,0.563,Pandora Agios Dometios,5,4,2,0,11,20.62,0.00%,(  35.66%),Red,(  18.17%),Yellow
'80006032,National,445,0.875,Pandora Agios Dometios - Pandora Tseriou - Pandora Prodromou,4,4,5,2,10,111.87,0.00%,355,0.875,Pandora Agios Dometios - Pandora Prodromou,3,5,5,6,25,145.28,0.00%,355,0.875,Pandora Ayios Antonios - Pandora Agios Dometios,3,5,5,9,18,92.17,0.00%,0.00%,Green,0.00%,Green
'80006033,National,555,1,Pandora Agios Dometios,5,5,5,0,21,86.52,9.58%,355,0.875,Pandora Agios Dometios,3,5,5,9,30,95.02,0.00%,454,0.813,Pandora Agios Dometios,4,5,4,2,20,65.11,0.00%,(  18.70%),Yellow,(   7.09%),Yellow
'80006034,National,554,0.875,Pandora Agios Dometios,5,5,4,1,22,58.91,0.00%,244,0.625,Pandora Agios Dometios,2,4,4,11,10,61.76,0.00%,433,0.563,Pandora Agios Dometios,4,3,3,4,6,23.84,0.00%,(  35.66%),Red,(   9.92%),Yellow
'80006035,National,333,0.5,Pandora Agios Dometios - Pandora Prodromou,3,3,3,11,6,37.77,0.00%,455,0.938,Pandora Agios Dometios - Pandora Prodromou,4,5,5,2,24,157.47,5.26%,555,1,Pandora Agios Dometios - Pandora Athalassas - Pandora Prodromou,5,5,5,0,22,135.98,0.00%,100.00%,Blue,6.61%,Green
'80006037,National,,,,,,,,,,,,,,,,,,,,,224,0.5,Pandora Agios Dometios,2,2,4,22,3,42.53,0.00%,,White,,White
'80006038,National,111,0,Pandora Agios Dometios,1,1,1,57,1,8.16,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006039,National,345,0.813,Pandora Agios Dometios,3,4,5,6,11,97.05,0.00%,555,1,Pandora Agios Dometios,5,5,5,1,21,139.13,0.00%,555,1,Pandora Agios Dometios,5,5,5,0,24,226.64,0.00%,23.00%,Green,0.00%,Green
'80006040,National,211,0.063,Pandora Ayios Antonios,2,1,1,13,1,9,0.00%,522,0.438,Pandora Agios Dometios,5,2,2,0,3,14.05,0.00%,111,0,Pandora Agios Dometios,1,1,1,32,1,2.56,0.00%,( 100.00%),Red,( 100.00%),Red
'80006042,National,143,0.438,Pandora Agios Dometios,1,4,3,32,8,29.07,0.00%,111,0,Pandora Agios Dometios,1,1,1,25,1,2.19,0.00%,,,,,,,,,,,,Black,,Black
'80006043,National,111,0,Pandora Agios Dometios,1,1,1,43,1,2.85,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006044,National,555,1,Pandora Agios Dometios,5,5,5,0,34,217.38,0.59%,555,1,Pandora Agios Dometios,5,5,5,0,17,119.63,0.00%,555,1,Pandora Agios Dometios,5,5,5,1,23,161.42,0.00%,0.00%,Green,0.00%,Green
'80006045,National,,,,,,,,,,,121,0.063,Pandora Agios Dometios - Pandora Kaimakli,1,2,1,45,3,7.62,0.00%,121,0.063,Pandora Agios Dometios - Pandora Prodromou,1,2,1,32,2,8.32,0.00%,,White,0.00%,Green
'80006046,National,334,0.625,Pandora Agios Dometios,3,3,4,12,5,47.03,0.00%,444,0.75,Pandora Agios Dometios,4,4,4,3,8,51.58,0.00%,344,0.688,Pandora Agios Dometios,3,4,4,9,9,52.05,0.00%,10.08%,Green,(   8.27%),Yellow
'80006048,National,111,0,Pandora Agios Dometios,1,1,1,42,2,3.28,0.00%,,,,,,,,,,,,,,,,,,,,,,Black,,
'80006049,National,111,0,Pandora Agios Dometios,1,1,1,35,1,2.57,0.00%,234,0.563,Pandora Agios Dometios,2,3,4,17,6,80.7,0.00%,132,0.25,Pandora Agios Dometios,1,3,2,32,4,14.56,0.00%,100.00%,Blue,(  55.60%),Red
